[python_calc] | 2020-03-03 10:45:52,203 | DEBUG | > На расчёт 207 переменных ушло 0.024999
[python_calc] | 2020-03-03 10:45:52,255 | DEBUG | > На запись ушло 0.052299
[python_calc] | 2020-03-03 10:45:52,274 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:45:52,286 | DEBUG | > На запись ушло 0.010759
[python_calc] | 2020-03-03 10:45:53,556 | DEBUG | > На расчёт 207 переменных ушло 0.013999999999999999
[python_calc] | 2020-03-03 10:45:53,566 | DEBUG | > На запись ушло 0.008997999999999999
[python_calc] | 2020-03-03 10:45:53,987 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:45:54,002 | DEBUG | > На расчёт 207 переменных ушло 0.016003
[python_calc] | 2020-03-03 10:45:54,176 | DEBUG | > На запись ушло 0.17401999999999998
[python_calc] | 2020-03-03 10:45:56,240 | DEBUG | > На расчёт 207 переменных ушло 0.015002
[python_calc] | 2020-03-03 10:45:56,295 | DEBUG | > На запись ушло 0.055002999999999996
[python_calc] | 2020-03-03 10:45:57,147 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:45:57,159 | DEBUG | > На запись ушло 0.012001
[python_calc] | 2020-03-03 10:45:57,994 | DEBUG | > На расчёт 207 переменных ушло 0.015002
[python_calc] | 2020-03-03 10:45:58,156 | DEBUG | > На запись ушло 0.162409
[python_calc] | 2020-03-03 10:46:00,252 | DEBUG | > На расчёт 207 переменных ушло 0.012003
[python_calc] | 2020-03-03 10:46:00,303 | DEBUG | > На запись ушло 0.051003
[python_calc] | 2020-03-03 10:46:01,161 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:46:01,173 | DEBUG | > На запись ушло 0.012001999999999999
[python_calc] | 2020-03-03 10:46:03,246 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:46:03,411 | DEBUG | > На запись ушло 0.164011
[python_calc] | 2020-03-03 10:46:04,253 | DEBUG | > На расчёт 207 переменных ушло 0.013002999999999999
[python_calc] | 2020-03-03 10:46:04,264 | DEBUG | > На запись ушло 0.01
[python_calc] | 2020-03-03 10:46:05,940 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:46:05,953 | DEBUG | > На расчёт 207 переменных ушло 0.014001
[python_calc] | 2020-03-03 10:46:05,965 | DEBUG | > На запись ушло 0.012006
[python_calc] | 2020-03-03 10:46:07,187 | DEBUG | > На расчёт 207 переменных ушло 0.013005
[python_calc] | 2020-03-03 10:46:07,247 | DEBUG | > На запись ушло 0.059007
[python_calc] | 2020-03-03 10:46:08,069 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:46:08,080 | DEBUG | > На запись ушло 0.011001
[python_calc] | 2020-03-03 10:46:10,169 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:46:10,182 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:46:10,191 | DEBUG | > На запись ушло 0.008001
[python_calc] | 2020-03-03 10:46:11,025 | DEBUG | > На расчёт 207 переменных ушло 0.013004
[python_calc] | 2020-03-03 10:46:11,087 | DEBUG | > На запись ушло 0.06
[python_calc] | 2020-03-03 10:46:12,320 | DEBUG | > На расчёт 207 переменных ушло 0.013002999999999999
[python_calc] | 2020-03-03 10:46:12,379 | DEBUG | > На запись ушло 0.057998999999999995
[python_calc] | 2020-03-03 10:46:13,219 | DEBUG | > На расчёт 207 переменных ушло 0.013998
[python_calc] | 2020-03-03 10:46:13,236 | DEBUG | > На запись ушло 0.015000999999999999
[python_calc] | 2020-03-03 10:46:14,070 | DEBUG | > На расчёт 207 переменных ушло 0.013002999999999999
[python_calc] | 2020-03-03 10:46:14,126 | DEBUG | > На запись ушло 0.055006
[python_calc] | 2020-03-03 10:46:15,779 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:46:15,789 | DEBUG | > На запись ушло 0.009999
[python_calc] | 2020-03-03 10:46:17,089 | DEBUG | > На расчёт 207 переменных ушло 0.022005
[python_calc] | 2020-03-03 10:46:17,105 | DEBUG | > На запись ушло 0.014999
[python_calc] | 2020-03-03 10:46:17,949 | DEBUG | > На расчёт 207 переменных ушло 0.014998
[python_calc] | 2020-03-03 10:46:18,004 | DEBUG | > На запись ушло 0.055004
[python_calc] | 2020-03-03 10:46:19,250 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:46:19,262 | DEBUG | > На запись ушло 0.012001
[python_calc] | 2020-03-03 10:46:19,269 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:46:19,282 | DEBUG | > На расчёт 207 переменных ушло 0.013
[python_calc] | 2020-03-03 10:46:19,340 | DEBUG | > На запись ушло 0.057004
[python_calc] | 2020-03-03 10:46:20,598 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:46:20,609 | DEBUG | > На запись ушло 0.010003
[python_calc] | 2020-03-03 10:46:21,447 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:46:21,458 | DEBUG | > На запись ушло 0.011001
[python_calc] | 2020-03-03 10:46:22,715 | DEBUG | > На расчёт 207 переменных ушло 0.013
[python_calc] | 2020-03-03 10:46:22,771 | DEBUG | > На запись ушло 0.056005
[python_calc] | 2020-03-03 10:46:23,626 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:46:23,639 | DEBUG | > На расчёт 207 переменных ушло 0.014001
[python_calc] | 2020-03-03 10:46:23,699 | DEBUG | > На запись ушло 0.060004999999999996
[python_calc] | 2020-03-03 10:46:24,531 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:46:24,544 | DEBUG | > На запись ушло 0.011002999999999999
[python_calc] | 2020-03-03 10:46:25,389 | DEBUG | > На расчёт 207 переменных ушло 0.013004
[python_calc] | 2020-03-03 10:46:25,449 | DEBUG | > На запись ушло 0.060003999999999995
[python_calc] | 2020-03-03 10:46:27,499 | DEBUG | > На расчёт 207 переменных ушло 0.012003
[python_calc] | 2020-03-03 10:46:27,559 | DEBUG | > На запись ушло 0.059003999999999994
[python_calc] | 2020-03-03 10:46:37,413 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:46:37,426 | DEBUG | > На расчёт 207 переменных ушло 0.014001
[python_calc] | 2020-03-03 10:46:37,475 | DEBUG | > На запись ушло 0.049005
[python_calc] | 2020-03-03 10:46:38,341 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:46:38,509 | DEBUG | > На запись ушло 0.168015
[python_calc] | 2020-03-03 10:46:39,334 | DEBUG | > На расчёт 207 переменных ушло 0.013
[python_calc] | 2020-03-03 10:46:39,344 | DEBUG | > На запись ушло 0.010001
[python_calc] | 2020-03-03 10:46:40,590 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:46:40,603 | DEBUG | > На расчёт 207 переменных ушло 0.014003
[python_calc] | 2020-03-03 10:46:40,614 | DEBUG | > На запись ушло 0.011
[python_calc] | 2020-03-03 10:46:41,432 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:46:41,445 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:46:41,499 | DEBUG | > На запись ушло 0.054005
[python_calc] | 2020-03-03 10:46:42,740 | DEBUG | > На расчёт 207 переменных ушло 0.014003
[python_calc] | 2020-03-03 10:46:42,914 | DEBUG | > На запись ушло 0.174182
[python_calc] | 2020-03-03 10:46:43,742 | DEBUG | > На расчёт 207 переменных ушло 0.013018
[python_calc] | 2020-03-03 10:46:43,756 | DEBUG | > На запись ушло 0.013987999999999999
[python_calc] | 2020-03-03 10:46:44,601 | DEBUG | > На расчёт 207 переменных ушло 0.014001
[python_calc] | 2020-03-03 10:46:44,655 | DEBUG | > На запись ушло 0.054005
[python_calc] | 2020-03-03 10:46:45,510 | DEBUG | > На расчёт 207 переменных ушло 0.012001
[python_calc] | 2020-03-03 10:46:45,559 | DEBUG | > На запись ушло 0.048005
[python_calc] | 2020-03-03 10:46:46,812 | DEBUG | > На расчёт 207 переменных ушло 0.014006
