[parser] | 2020-03-03 13:52:49,207 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 13:52:49,842 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 13:52:49,842 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 13:52:50,338 | INFO | > [92mOK[0m
[parser] | 2020-03-03 13:52:50,339 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 13:52:50,339 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 13:52:50,404 | INFO | > [92mOK[0m
[parser] | 2020-03-03 13:52:50,404 | INFO | > Переменных успешно спарсено: 270
[parser] | 2020-03-03 13:52:50,404 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 13:52:50,433 | INFO | > Запись переменных
[parser] | 2020-03-03 14:06:44,506 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 14:06:45,150 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 14:06:45,150 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 14:06:45,609 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:06:45,609 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 14:06:45,609 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 14:06:45,668 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:06:45,668 | INFO | > Переменных успешно спарсено: 272
[parser] | 2020-03-03 14:06:45,668 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 14:06:45,697 | INFO | > Запись переменных
[parser] | 2020-03-03 14:24:05,781 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 14:24:06,480 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 14:24:06,481 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 14:24:07,017 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:24:07,018 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 14:24:07,018 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 14:24:07,080 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:24:07,081 | INFO | > Переменных успешно спарсено: 274
[parser] | 2020-03-03 14:24:07,081 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 14:24:07,113 | INFO | > Запись переменных
[parser] | 2020-03-03 14:33:15,940 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 14:33:16,638 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 14:33:16,638 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 14:33:17,153 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:33:17,153 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 14:33:17,153 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 14:33:17,229 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:33:17,229 | INFO | > Переменных успешно спарсено: 276
[parser] | 2020-03-03 14:33:17,229 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 14:33:17,263 | INFO | > Запись переменных
[parser] | 2020-03-03 14:39:54,297 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 14:39:55,005 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 14:39:55,005 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 14:39:55,505 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:39:55,505 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 14:39:55,505 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 14:39:55,575 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:39:55,575 | INFO | > Переменных успешно спарсено: 278
[parser] | 2020-03-03 14:39:55,575 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 14:39:55,610 | INFO | > Запись переменных
[parser] | 2020-03-03 14:48:50,131 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 14:48:50,854 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 14:48:50,854 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 14:48:51,363 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:48:51,363 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 14:48:51,363 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 14:48:51,440 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:48:51,440 | INFO | > Переменных успешно спарсено: 280
[parser] | 2020-03-03 14:48:51,440 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 14:48:51,469 | INFO | > Запись переменных
[parser] | 2020-03-03 14:55:35,153 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 14:55:35,878 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 14:55:35,878 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 14:55:36,391 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:55:36,391 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 14:55:36,391 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 14:55:36,457 | INFO | > [92mOK[0m
[parser] | 2020-03-03 14:55:36,457 | INFO | > Переменных успешно спарсено: 282
[parser] | 2020-03-03 14:55:36,457 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 14:55:36,489 | INFO | > Запись переменных
[parser] | 2020-03-03 15:00:27,592 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 15:00:28,360 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 15:00:28,361 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 15:00:28,883 | INFO | > [92mOK[0m
[parser] | 2020-03-03 15:00:28,883 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 15:00:28,883 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 15:00:28,964 | INFO | > [92mOK[0m
[parser] | 2020-03-03 15:00:28,964 | INFO | > Переменных успешно спарсено: 284
[parser] | 2020-03-03 15:00:28,964 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 15:00:28,993 | INFO | > Запись переменных
[parser] | 2020-03-03 15:01:20,112 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
